episode,title,abbr,stardate,original_airdate,production_number
4x08,Little Green Men,DS9,Unknown,1995-11-15,40510-479
4x09,The Sword of Kahless,DS9,49289.1,1995-11-20,40510-481
4x10,Our Man Bashir,DS9,49300.7,1995-11-27,40510-482
4x11,Homefront,DS9,49170.65,1996-01-01,40510-483
4x12,Paradise Lost,DS9,Unknown,1996-01-08,40510-484
4x13,Crossfire,DS9,Unknown,1996-01-29,40510-485
4x14,Return to Grace,DS9,Unknown,1996-02-05,40510-486
4x15,Sons of Mogh,DS9,49556.2,1996-02-12,40510-487
4x16,Bar Association,DS9,Unknown,1996-02-19,40510-488
4x17,Accession,DS9,Unknown,1996-02-24,40510-489
4x18,Rules of Engagement,DS9,49665.3,1996-04-08,40510-490
4x19,Hard Time,DS9,Unknown,1996-04-15,40510-491
4x20,Shattered Mirror,DS9,Unknown,1996-04-22,40510-492
4x21,The Muse,DS9,Unknown,1996-04-29,40510-493
4x22,For the Cause,DS9,Unknown,1996-05-06,40510-494
4x23,To the Death,DS9,49904.2,1996-05-13,40510-496
4x24,The Quickening,DS9,Unknown,1996-05-20,40510-495
4x25,Body Parts,DS9,49930.3,1996-06-10,40510-497
4x26,Broken Link,DS9,49962.4,1996-06-17,40510-498
5x01,Apocalypse Rising,DS9,Unknown,1996-09-30,40510-499
5x02,The Ship,DS9,50049.3,1996-10-07,40510-500
5x03,Looking for par'Mach in All the Wrong Places,DS9,50061.2,1996-10-14,40510-501
5x04,Nor the Battle to the Strong,DS9,Unknown,1996-10-21,40510-502
5x05,The Assignment,DS9,Unknown,1996-10-28,40510-504
5x06,Trials and Tribble-ations,DS9,4523.7,1996-11-04,40510-503
5x07,Let He Who Is Without Sin...,DS9,Unknown,1996-11-11,40510-505
5x08,Things Past,DS9,Unknown,1996-11-18,40510-506
5x09,The Ascent,DS9,Unknown,1996-11-25,40510-507
5x10,Rapture,DS9,Unknown,1996-12-30,40510-508
5x11,The Darkness and the Light,DS9,50416.2,1997-01-06,40510-509
5x12,The Begotten,DS9,Unknown,1997-01-27,40510-510
5x13,For the Uniform,DS9,50485.2,1997-02-03,40510-511
5x14,In Purgatory's Shadow,DS9,Unknown,1997-02-10,40510-512
5x15,By Inferno's Light,DS9,50564.2,1997-02-17,40510-513
5x16,"Doctor Bashir, I Presume",DS9,Unknown,1997-02-24,40510-514
5x17,A Simple Investigation,DS9,Unknown,1997-03-31,40510-515
5x18,Business as Usual,DS9,Unknown,1997-04-05,40510-516
5x19,Ties of Blood and Water,DS9,50712.5,1997-04-14,40510-517
5x20,Ferengi Love Songs,DS9,Unknown,1997-04-21,40510-518
5x21,Soldiers of the Empire,DS9,Unknown,1997-04-29,40510-519
5x22,Children of Time,DS9,50814.2,1997-05-05,40510-520
5x23,Blaze of Glory,DS9,Unknown,1997-05-12,40510-521
5x24,Empok Nor,DS9,50901.7,1997-05-19,40510-522
5x25,In the Cards,DS9,50929.4,1997-06-09,40510-523
5x26,Call to Arms,DS9,50975.2,1997-06-16,40510-524
6x01,A Time to Stand,DS9,Unknown,1997-09-29,40510-525
6x02,Rocks and Shoals,DS9,Unknown,1997-10-06,40510-527
6x03,Sons and Daughters,DS9,Unknown,1997-10-16,40510-526
6x04,Behind the Lines,DS9,51145.3,1997-10-20,40510-528
6x05,Favor the Bold,DS9,Unknown,1997-10-27,40510-529
6x06,Sacrifice of Angels,DS9,Unknown,1997-11-03,40510-530
6x07,You Are Cordially Invited,DS9,51247.5,1997-11-10,40510-531
6x08,Resurrection,DS9,Unknown,1997-11-17,40510-532
6x09,Statistical Probabilities,DS9,Unknown,1997-11-22,40510-533
